no.,mySUNI ID,Company,Title,Category,Level,Nickname,,,,,,,,,,,,,,,,,,
94,DEE9C66ACAC9434ABCD7831A39FFB67120240620153236,SK텔레콤,개떡같이 입력된 주소도 찰떡같이 정리해줘 (회사 부동산 현행화),자동화,초급,활기찬데이터1098,,,,,,,,,,,,,,,,,,
95,00F496615A704B79B0E7B3E162C615AE20240607162928,SK인천석유화학,환경설비 제출 자료 작성 자동화(엑셀 매크로),자동화,초급,동글,,,,,,,,,,,,,,,,,,
96,B65B76A6348C4161BD0062C5F2CCC6B720240604144934,SK텔레콤,AI로 만든 웹툰 연재한 썰.SSUL,콘텐츠,중급,heky,,,,,,,,,,,,,,,,,,
97,012DF97580404C4996C15E5D4ED8E59920240701111145,SK이노베이션,Chat GPT를 활용한 엑셀 데이터 처리 자동화,자동화,초급,활발한호랑이77,,,,,,,,,,,,,,,,,,
98,8C6E58AD596E47E3ABE4122095BF91FB20240703192240,SK주식회사 C&C,영어 문법 및 작문 도우미,일상,초급,만랩,,,,,,,,,,,,,,,,,,
99,69FB9DFF35E74AACA4C836D0FEA38E9B20240626140131,SK하이닉스,오늘 저녁 뭐 먹지?,일상,초급,에스케이하이닉스,,,,,,,,,,,,,,,,,,
100,062C64B8E7B7402FA5DD8823CC80225320240619132919,SK주식회사 C&C,Playlist 분석과 추천,일상,초급,David,,,,,,,,,,,,,,,,,,
101,7B85AE1BF53D498ABC459420203D500C20240704095004,SK하이닉스,ChatGPT를 활용한 이름 짓기 (작명소가 필요 없음!),일상,초급,성실한문어8713,,,,,,,,,,,,,,,,,,
102,429E1998AC234F51B437C47060755EFD20240627153126,SK에코엔지니어링,RPA를 통한 수입신고 증빙 분류 및 입력 자동화,자동화,중급,BKKIM89,,,,,,,,,,,,,,,,,,
103,57E788BBE90447D5A828B308B5EE252020240619133244,SK텔레콤,PASS 고객센터 챗봇 만들기,챗봇,중급,활발한코딩천재3017,,,,,,,,,,,,,,,,,,
104,801BF6B7FB14479B8C6D4637B92F960020240701090026,SK텔레콤,This Is Me(사진1장과 30초 음성으로 AI Agent생성),챗봇,고급,에드거,,,,,,,,,,,,,,,,,,
105,DEE9C66ACAC9434ABCD7831A39FFB67120240620153236,SK텔레콤,부동산 자산 면적 검증 (ChatGPT와 파이썬 활용 건축물 대장 발급),자동화,중급,활기찬데이터1098,,,,,,,,,,,,,,,,,,
106,6871C3DD88ED45BB8B58E61ECDEF3E9920240613084452,SK하이닉스,미래 언어를 정의하는 차세대 표준 용어 추천 모델 개발,콘텐츠,고급,초록매실,,,,,,,,,,,,,,,,,,
107,9FE49AF8CFAE4EBA977C1A528AB972F120240628133506,SK텔레콤,회사에서 신입사원 채용을 위한 공고 문구 작성,콘텐츠,초급,나도달리오,,,,,,,,,,,,,,,,,,
108,9C67A401B5134D649904F5645344006120240619170521,SK트레이딩인터내셔널,Excel의 ETL Tool인 Power Query의 효율적 관리 방안,자동화,중급,활동적인밤하늘5732,,,,,,,,,,,,,,,,,,
109,C993F6762EF04E618C8F0D62501D86D820240619132540,SK브로드밴드,10분만에 완성하는 생성형AI로 홍보용 콘텐츠이야기 만들기,콘텐츠,초급,후홍몽,,,,,,,,,,,,,,,,,,
110,9334D5451D0744B38AC5E75F9E5A74F920240625130648,SK하이닉스,세상에 하나밖에 없는 동화책을 AI로 만들어 아이에게 생일선물하기,콘텐츠,초급,활발한고래,,,,,,,,,,,,,,,,,,
111,A08F0AC1EA3E4375A981BF96F713037B20240708111430,서비스에이스,python을 이용한 통계 자동화 (해지 유지율 일일보고),자동화,중급,유선CS마케팅_J,,,,,,,,,,,,,,,,,,
112,587D9368386748FEB075754BD3E7729020240703145729,SK텔레콤,AI를 접목한 자동 기술 게시글 작성,자동화,중급,cavin,,,,,,,,,,,,,,,,,,
113,FA3E2FF247914481A8985ECEFF37707020240603163244,SK이노베이션,그린워싱 리스크 검토 위한 GPTs 활용: Greewash Checker,챗봇,초급,오모리,,,,,,,,,,,,,,,,,,
114,6A67CE93AEE145CCB099391B5421040920240625065121,SK하이닉스,다변량 측정 데이터의 효율적인 분석을 위한 데이터 분석 코드 작성,데이터분석,중급,막나가는GPT,,,,,,,,,,,,,,,,,,
115,8FF9116887AB4C269FC8E1B423108ECB20240705083449,SK텔레콤,"챗 GPT로 시니어 대화 친구 만들기, 고령화 사회문제 해결!",일상,초급,간짜장,,,,,,,,,,,,,,,,,,
116,C1DE4F7767B440A39592C9EDCAAD385C20240708182438,SK온,팀장님 감사패 작성,일상,초급,플토,,,,,,,,,,,,,,,,,,
117,0A0A4674B37F4B9D907AABA666E05FEF20240619133855,SK주식회사 C&C,chatgpt 로 여행 비서 만들기,일상,초급,취미활동,,,,,,,,,,,,,,,,,,
118,E8D3F0AE1CEB4FB0A8BF6DE1C6B2C1A920240708192407,SK하이닉스,생성형 AI를 이용한 Die Level Defect IMG 생성 내재화,데이터분석,중급,활발한코딩덕후4392,,,,,,,,,,,,,,,,,,
119,7E2DE8463DC24AA0912CC1849F6E478C20240628125048,SK텔레콤,생성형 AI를 통한 대 고객 메시지 개선,자동화,초급,ㅇㅅㅎ,,,,,,,,,,,,,,,,,,
120,7932FCFE091847409A03D39896713EE120240703133911,SK텔레콤,AI Tool을 활용한 마스코드 이미지 에셋 제작,콘텐츠,초급,무아지경,,,,,,,,,,,,,,,,,,
121,48A99932028143D181E987A7F800F61920240626190811,SK텔레콤,(비업무/일상) AI가 그려주는 우리 아이들 잠자리 동화,일상,초급,pgdl,,,,,,,,,,,,,,,,,,
122,B4E9826619224DBFBD16EA6509B90B2720240709000836,SK지오센트릭,"Chat GPT를 활용해 EU 규정 확인, 고객 요구사항 회신 레터 작성",질의,초급,ActuallyIdid,,,,,,,,,,,,,,,,,,
123,A2953437346E4196B6E5B90DD73ECCB620240619163733,SK텔레콤,Gen-AI Art Challenge GAAC 2탄 참여 결과물 생성,콘텐츠,초급,우보천리999,,,,,,,,,,,,,,,,,,
